누적투자유치금액,기업추천수,지역명,투자일자,투자단계명,투자금액,기업가치금액,앱스토어 등록,구글플레이 등록,설립일자_분류,기술스택_개수,산업구분명_분류
500000000.0,0,수도권,20120601,투자 단계 비공개,500000000.0,,1,1,2017년 이전,1,IT
30000000.0,0,수도권,20150401,투자 단계 비공개,30000000.0,,1,1,2017년 이전,1,IT
50000000.0,0,수도권,20200701,투자 단계 비공개,50000000.0,,0,0,2017년 이후,18,IT
310000000.0,2,수도권,20130101,투자 단계 비공개,100000000.0,,1,1,2017년 이전,12,IT
5748000000.0,1,수도권,20210722,투자 단계 비공개,500000000.0,,1,0,2017년 이후,19,IT
850000000.0,0,수도권,20210401,투자 단계 비공개,580000000.0,,0,0,2017년 이후,23,None IT
728000000.0,17,수도권,20171013,Seed,,,0,0,2017년 이전,49,IT
3900000000.0,1,수도권,20151230,Series B,2500000000.0,,0,0,2017년 이전,1,IT
100000000.0,1,수도권,20210825,Seed,100000000.0,2000000000.0,0,0,2017년 이후,1,None IT
200000000.0,0,수도권,20171207,Seed,100000000.0,2000000000.0,0,0,2017년 이전,11,None IT
230000000.0,4,수도권,20181219,Seed,100000000.0,,1,1,2017년 이후,18,IT
1000000000.0,0,수도권,20120314,투자 단계 비공개,1000000000.0,,0,1,2017년 이전,1,IT
196000000.0,1,수도권,20211001,투자 단계 비공개,100000000.0,2000000000.0,0,0,2017년 이후,4,None IT
500000000.0,20,수도권,20210930,투자 단계 비공개,300000000.0,,1,1,2017년 이후,38,IT
1500000000.0,0,수도권,20170310,Seed,1500000000.0,,0,0,2017년 이후,1,IT
820000000.0,1,수도권,20160628,Angel,500000000.0,,0,0,2017년 이전,22,IT
1110000000.0,3,수도권,20200430,투자 단계 비공개,250000000.0,,0,0,2017년 이후,19,IT
620000000.0,1,수도권,20200601,투자 단계 비공개,80000000.0,,0,0,2017년 이후,15,None IT
127000000.0,0,비수도권,20150601,투자 단계 비공개,127000000.0,,0,0,2017년 이전,1,None IT
5930000000.0,3,수도권,20141001,투자 단계 비공개,300000000.0,,1,1,2017년 이전,1,IT
3940000000.0,11,수도권,20170228,Angel,120000000.0,,1,1,2017년 이전,10,None IT
70000000.0,2,수도권,20190617,투자 단계 비공개,70000000.0,,1,1,2017년 이전,19,IT
500000000.0,1,수도권,20130826,투자 단계 비공개,500000000.0,,0,0,2017년 이전,20,IT
176631000.0,3,수도권,20210608,Series A,100000000.0,,0,0,2017년 이후,8,IT
100000000.0,2,비수도권,20170331,Seed,100000000.0,1000000000.0,0,1,2017년 이후,11,IT
1316200000.0,0,수도권,20210831,Angel,930000000.0,,0,0,2017년 이전,1,None IT
376176450.0,0,수도권,20180420,Angel,376176450.0,6042226450.0,0,0,2017년 이전,1,IT
