투자일련번호,기업일련번호,투자일자,투자단계명,투자금액,기업가치금액,투자유치비고,보도자료발행사명,보도자료제목,보도자료url,투자기관번호
9702,18527,20211029,Series A,14000000000,,,platum,에듀테크 스타트업 ‘오누이’|| 140억 규모 시리즈 A 투자 유치                                                                                                                                                                                                                                                                        ,https://platum.kr/archives/175240,7729||7858
9619,128052,20211117,투자 단계 비공개,60000000,,,,,,46070
9617,160012,20211115,Seed,3000000,,,,,,92799
9594,135776,20160930,Series A,80000000,,,,,,126638
9593,135776,20160805,Series A,200000000,,,,,,7714
9600,135776,20200331,Series A,499881588,,,,,,126638
9598,135776,20190830,Series A,999913600,,,,,,6036
9575,159679,20180430,Series A,3600000000,,,Venture Square,숨고|| 국내외 투자사로부터 340만 달러 투자 유치                                                                                                                                                                                                                                                                                ,https://www.venturesquare.net/762592?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+vs-rss+%28VentureSquare%29,7716||7736||26819||18565||7729||1210||77444
9587,7772,20211102,투자 단계 비공개,,,,,,,
9571,88706,20210617,Series A,800000000,,,벤처스퀘어,명상앱 '코끼리'|| 8억원 투자 유치                                                                                                                                                                                                                                                                                        ,https://www.venturesquare.net/831076,
9576,159688,20210601,투자 단계 비공개,50000000,50000000,예비창업패키지 선정 지원금,,,,7741
9578,130319,20211018,투자 단계 비공개,3000000000,,,이데일리,,https://www.edaily.co.kr/news/read?newsId=02725686629215216&mediaCodeNo=257,18542||80646
9561,96802,20211029,Series A,2000000000,,,,,,140982||11457||38875
9573,159679,20210615,Series C,32000000000,,,한경 증권,'숨고' 운영사 브레이브모바일|| 320억원 규모 시리즈 C 투자 유치 [마켓인사이트]                                                                                                                                                                                                                                                             ,https://www.hankyung.com/finance/article/202106158909i,7736||7729||100066||7807||7756||159686||113056||159687
3386,8787,20170609,Seed,,,,,,,7749
9596,135776,20180703,Series A,299880000,,,,,,126638
9602,135776,20210709,Series B,1000034118,,,,,,7709
9608,159885,20210802,투자 단계 비공개,200000000,7000000000,,,,,152410
9597,135776,20190829,Series A,499878400,,,,,,7832
9515,144858,20211031,투자 단계 비공개,,,,,,,83012
9488,147275,20211027,Seed,,,,,,,
9486,147094,20211028,Seed,300000000,,,,,,7858
9606,157384,20210825,Seed,100000000,2000000000,,,,,
9604,135776,20210917,Series B,50135202,,,,,,13930
9601,135776,20210709,Series B,1999771578,,,,,,42557
9590,141821,20211105,Seed,,,,,,,7713
4958,85149,20181016,투자 단계 비공개,1000000000,,,플래텀,네오사피엔스|| 투자 유치…누적 투자금 12억 원                                                                                                                                                                                                                                                                                  ,https://platum.kr/archives/108292,7771
9572,35588,20210615,Series C,32000000000,,,한경 증권,'숨고' 운영사 브레이브모바일|| 320억원 규모 시리즈 C 투자 유치 [마켓인사이트]                                                                                                                                                                                                                                                             ,https://www.hankyung.com/finance/article/202106158909i,7736||7729||89193||7807||7756||159686||113056||159687
9554,88124,20210910,Seed,100000000,,,,,,117648
9706,128052,20211202,투자 단계 비공개,50000000,,,플래텀(Platum),‘우수 스타트업과 투자자 한자리에’ 신한 스퀘어브릿지 제2회 통합 Hero IR-Day                                                                                                                                                                                                                                                            ,https://platum.kr/archives/176353,84283
9707,128052,20211203,투자 단계 비공개,185000000,,,,,,31115
9708,161084,20211126,Seed,,,,,,,
1561,20283,20140101,투자 단계 비공개,10000000,,김**,,,,
8820,150116,20210712,Angel,,,,,,,
3459,15706,20170427,Seed,300000000,,,지디넷,튜터링|| 빅베이슨캐피탈 등서 8억 투자 유치                                                                                                                                                                                                                                                                                    ,http://www.zdnet.co.kr/news/news_view.asp?artice_id=20170516091347,
5945,3306,20171208,Series A,,,,,,,
546,5341,20150601,투자 단계 비공개,,,정부지원사업(창업진흥원),,,,
6394,98829,20190601,투자 단계 비공개,,,,,,,
8189,72382,20191023,Seed,200010300,,,,,,40929
