제품일련번호,기업일련번호,제품국문명,제품영문명,한줄소개내용,제품상세설명,검색태그내용,홈페이지url,앱스토어url,구글플레이url
126395,22905,동거동락(건물주),DGDR,중소형 건물주를 위한 디지털 임대관리 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,임대관리||월세관리||주택관리||보수||시설보수||인테리어,,,https://play.google.com/store/apps/details?id=kr.dgdr.dgdr
126564,159657,아이 교육,,한국에서는 처음 시행하는 아이교육입니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,교육/문화컨텐츠,,,
3750,4130,29CM APP,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/89,,http://www.29cm.co.kr/event/app/about.asp,https://itunes.apple.com/kr/app/id789634744,https://play.google.com/store/apps/details?id=com.plusx.shop29cm
127801,143823,오픈피피엘,OpenPPL,광고를 넘어 판매까지|| 유튜버와 광고주의 직거래 글로벌 PPL커머스 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/90,유튜버||유튜브||오픈피피엘||OpenPPL||ppl||유튜브PPL,https://www.OpenPPL.net,,
127698,129395,에딧폴리오,EditFolio,영상 편집 월 구독 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/91,콘텐츠/영상||편집||#영상#촬영#편집||자막,https://editfolio.ai,,
127223,98998,더퍼즐,THE PUZZLE,페이스북 인스턴트 게임 플랫폼에서 즐길 수 있는 퍼즐 게임,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,https://www.supergene.co/#portfolio,,
126263,142135,큐빗,Qubit,암호화폐 렌딩 플랫폼입니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,디파이||DeFi||BSC||smartcontract||Solidity||Lending||Blockchain/Crypto-Economy/Crypto-Currency,https://qbt.fi,,
127322,160254,바이오링크,BioLink,바이오관련 기술 및 인허가 문제해결 맞춤형 매칭 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/94,,,,
127137,160093,도츠,DoTS,DoTS (Digitalization of Thinking Strategy),/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/95,,,,
126373,159482,하고,HAGO,라이징 패션 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/96,패션&라이프스타일||쇼핑몰||오픈마켓||웹서비스||디자인||웹개발||웹디자인||디지털콘텐츠||브랜드컨설팅||워드프레스||캠페인,https://www.hago.kr/,,
